Player,Squad,Age,Pos,Nation,Season_End_Year,Comp,Born,Mins_Per_90_Playing,GA_Goals,PKA_Goals,FK_Goals,CK_Goals,OG_Goals,PSxG_Expected,PSxG_per_SoT_Expected,PSxG._per__minus__Expected,X_per_90_Expected,Cmp_Launched,Att_Launched,Cmp_percent_Launched,Att..GK._Passes,Thr_Passes,Launch_percent_Passes,AvgLen_Passes,Att_Goal,Launch_percent_Goal,AvgLen_Goal,Opp_Crosses,Stp_Crosses,Stp_percent_Crosses,X.OPA_Sweeper,X.OPA_per_90_Sweeper,AvgDist_Sweeper,GA,GA90,SoTA,Saves,Save_percent,W,D,L,CS,CS_percent,PKatt_Penalty,PKA_Penalty,PKsv_Penalty,PKm_Penalty,Save_percent_Penalty,Weekly_Wages_Pounds,Annual_Wages_Pounds,Career_Injuries_Duration,Career_Games_Missed
Mark Flekken,Brentford,30.0,GK,NED,2024,Premier League,1993.0,36.5,63.0,2.0,0.0,6.0,0.0,55.4,0.31,-7.6,-0.21,242.0,647.0,37.4,1288.0,131.0,36.6,34.5,289.0,60.9,46.7,568.0,44.0,7.7,37.0,1.01,12.6,63.0,1.73,176.0,113.0,65.3,10.0,9.0,18.0,7.0,18.9,2.0,2.0,0.0,0.0,0.0,30000.0,1560000.0,1516.0,256.0
Thomas Strakosha,Brentford,28.0,GK,ALB,2024,Premier League,1995.0,1.5,2.0,0.0,0.0,0.0,0.0,1.5,0.2,-0.5,-0.3,12.0,30.0,40.0,56.0,5.0,41.1,35.8,15.0,46.7,39.9,37.0,2.0,5.4,1.0,0.67,10.0,2.0,1.33,8.0,6.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,25000.0,1300000.0,392.0,87.0
Marco Bizot,Brest,32.0,GK,NED,2024,Ligue 1,1991.0,32.0,34.0,2.0,0.0,4.0,0.0,36.2,0.27,2.2,0.07,232.0,482.0,48.1,908.0,134.0,39.3,35.1,188.0,66.5,47.3,382.0,18.0,4.7,41.0,1.28,15.7,34.0,1.06,129.0,94.0,75.2,15.0,10.0,7.0,13.0,40.6,3.0,2.0,1.0,0.0,33.3,15060.0,783143.0,170.0,40.0
Grégoire Coudert,Brest,24.0,GK,FRA,2024,Ligue 1,1999.0,2.0,0.0,0.0,0.0,0.0,0.0,0.3,0.07,0.3,0.13,12.0,36.0,33.3,70.0,10.0,41.4,37.2,10.0,70.0,55.4,24.0,0.0,0.0,2.0,0.99,23.0,0.0,0.0,4.0,4.0,100.0,2.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,,2979.0,154907.0,,
Jason Steele,Brighton,32.0,GK,ENG,2024,Premier League,1990.0,17.0,34.0,3.0,1.0,5.0,2.0,25.7,0.32,-6.3,-0.37,47.0,132.0,35.6,617.0,69.0,20.1,26.6,54.0,14.8,18.8,173.0,7.0,4.0,41.0,2.41,20.6,34.0,2.0,74.0,42.0,58.1,5.0,4.0,8.0,2.0,11.8,3.0,3.0,0.0,0.0,0.0,20000.0,1040000.0,172.0,29.0
Bart Verbruggen,Brighton,20.0,GK,NED,2024,Premier League,2002.0,21.0,28.0,3.0,0.0,3.0,0.0,25.4,0.25,-2.6,-0.12,55.0,142.0,38.7,789.0,117.0,17.1,24.4,72.0,9.7,15.7,232.0,17.0,7.3,31.0,1.48,15.8,28.0,1.33,91.0,63.0,72.5,7.0,8.0,6.0,4.0,19.0,3.0,3.0,0.0,0.0,0.0,35000.0,1820000.0,2.0,2.0
Arijanet Muric,Burnley,24.0,GK,KVX,2024,Premier League,1998.0,10.0,16.0,1.0,0.0,1.0,1.0,21.7,0.26,6.7,0.67,77.0,219.0,35.2,547.0,54.0,36.4,34.3,33.0,60.6,45.1,143.0,20.0,14.0,31.0,3.1,17.2,16.0,1.6,78.0,62.0,80.8,2.0,4.0,4.0,0.0,0.0,2.0,1.0,1.0,0.0,50.0,25000.0,1300000.0,26.0,8.0
James Trafford,Burnley,20.0,GK,ENG,2024,Premier League,2002.0,28.0,62.0,5.0,0.0,10.0,2.0,54.1,0.3,-5.9,-0.21,138.0,606.0,22.8,1332.0,162.0,33.9,31.3,198.0,78.3,54.2,419.0,30.0,7.2,43.0,1.54,15.0,62.0,2.21,166.0,106.0,65.7,3.0,5.0,20.0,2.0,7.1,5.0,5.0,0.0,0.0,0.0,25000.0,1300000.0,,
Simone Aresti,Cagliari,37.0,GK,ITA,2024,Serie A,1986.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.21,0.0,1.0,0.0,1.0,0.0,100.0,64.0,0.0,,,3.0,0.0,0.0,0.0,0.0,,1.0,90.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,4634.0,240967.0,19.0,5.0
Boris Radunović,Cagliari,27.0,GK,SRB,2024,Serie A,1996.0,7.0,12.0,0.0,0.0,1.0,1.0,10.1,0.38,-0.9,-0.13,41.0,91.0,45.1,156.0,31.0,35.9,37.0,66.0,53.0,43.8,98.0,6.0,6.1,4.0,0.57,11.2,12.0,1.71,27.0,16.0,55.6,0.0,2.0,5.0,2.0,28.6,1.0,0.0,0.0,1.0,,14398.0,748719.0,232.0,29.0
Simone Scuffet,Cagliari,27.0,GK,ITA,2024,Serie A,1996.0,31.0,55.0,3.0,3.0,9.0,2.0,45.1,0.33,-7.9,-0.25,161.0,452.0,35.6,684.0,106.0,43.3,37.1,243.0,64.2,46.9,482.0,22.0,4.6,20.0,0.65,12.1,55.0,1.77,129.0,76.0,59.7,8.0,10.0,13.0,3.0,9.7,3.0,3.0,0.0,0.0,0.0,6289.0,327027.0,66.0,16.0
Vicente Guaita,Celta Vigo,36.0,GK,ESP,2024,La Liga,1987.0,26.7,39.0,4.0,0.0,5.0,2.0,39.7,0.31,2.7,0.1,137.0,356.0,38.5,589.0,134.0,39.4,35.5,213.0,58.2,45.3,420.0,23.0,5.5,27.0,1.01,13.3,39.0,1.46,120.0,83.0,70.8,8.0,7.0,11.0,6.0,23.1,5.0,4.0,0.0,1.0,0.0,39720.0,2065431.0,182.0,34.0
Iván Villar,Celta Vigo,26.0,GK,ESP,2024,La Liga,1997.0,11.3,18.0,2.0,0.0,2.0,1.0,16.3,0.31,-0.7,-0.07,39.0,138.0,28.3,223.0,48.0,35.4,34.4,98.0,60.2,45.7,136.0,5.0,3.7,9.0,0.8,13.2,18.0,1.6,44.0,26.0,63.6,2.0,4.0,6.0,0.0,0.0,3.0,2.0,1.0,0.0,33.3,5296.0,275391.0,70.0,11.0
Đorđe Petrović,Chelsea,23.0,GK,SRB,2024,Premier League,1999.0,22.1,38.0,1.0,0.0,5.0,3.0,28.3,0.26,-6.7,-0.3,67.0,214.0,31.3,655.0,97.0,22.1,27.8,149.0,46.3,37.8,312.0,20.0,6.4,20.0,0.91,12.7,38.0,1.72,108.0,73.0,65.7,13.0,5.0,4.0,5.0,22.7,2.0,1.0,0.0,1.0,0.0,25000.0,1300000.0,,
Robert Sánchez,Chelsea,25.0,GK,ESP,2024,Premier League,1997.0,15.9,25.0,2.0,0.0,3.0,0.0,24.2,0.28,-0.8,-0.05,61.0,147.0,41.5,516.0,87.0,21.3,28.1,91.0,40.7,33.7,202.0,19.0,9.4,27.0,1.7,15.8,25.0,1.57,78.0,52.0,70.5,5.0,4.0,7.0,3.0,18.8,3.0,2.0,1.0,0.0,33.3,60000.0,3120000.0,32.0,10.0
Mory Diaw,Clermont Foot,30.0,GK,SEN,2024,Ligue 1,1993.0,30.0,54.0,6.0,0.0,5.0,1.0,57.1,0.28,4.1,0.14,206.0,558.0,36.9,1065.0,129.0,42.8,36.7,176.0,58.0,44.5,439.0,39.0,8.9,46.0,1.53,14.4,54.0,1.8,188.0,134.0,74.5,4.0,8.0,18.0,5.0,16.7,8.0,6.0,1.0,1.0,14.3,10261.0,533570.0,34.0,5.0
Massamba Ndiaye,Clermont Foot,21.0,GK,SEN,2024,Ligue 1,2001.0,4.0,6.0,1.0,0.0,1.0,0.0,7.8,0.29,1.8,0.45,20.0,55.0,36.4,148.0,28.0,29.7,30.9,24.0,45.8,35.1,75.0,7.0,9.3,3.0,0.75,10.1,6.0,1.5,24.0,18.0,79.2,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2152.0,111878.0,,
Dean Henderson,Crystal Palace,26.0,GK,ENG,2024,Premier League,1997.0,18.0,30.0,1.0,0.0,3.0,1.0,27.4,0.31,-1.6,-0.09,59.0,245.0,24.1,377.0,52.0,46.7,38.6,105.0,65.7,47.0,246.0,5.0,2.0,17.0,0.94,13.8,30.0,1.67,86.0,57.0,66.3,8.0,4.0,6.0,4.0,22.2,1.0,1.0,0.0,0.0,0.0,100000.0,5200000.0,788.0,26.0
Sam Johnstone,Crystal Palace,30.0,GK,ENG,2024,Premier League,1993.0,20.0,27.0,2.0,0.0,4.0,1.0,20.0,0.27,-6.0,-0.3,117.0,355.0,33.0,453.0,63.0,55.0,41.2,141.0,75.2,52.8,339.0,24.0,7.1,12.0,0.6,11.2,27.0,1.35,67.0,41.0,62.7,5.0,6.0,9.0,6.0,30.0,2.0,2.0,0.0,0.0,0.0,40000.0,2080000.0,74.0,38.0
Remi Matthews,Crystal Palace,29.0,GK,ENG,2024,Premier League,1994.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.15,-0.9,-19.2,0.0,5.0,0.0,4.0,0.0,100.0,53.8,1.0,100.0,63.0,1.0,1.0,100.0,0.0,0.0,3.5,1.0,22.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,5385.0,280000.0,94.0,15.0
David Gil,Cádiz,29.0,GK,ESP,2024,La Liga,1994.0,4.1,8.0,0.0,0.0,0.0,1.0,5.3,0.26,-1.7,-0.4,51.0,125.0,40.8,104.0,8.0,76.9,49.3,48.0,93.8,63.5,91.0,7.0,7.7,0.0,0.0,7.0,8.0,1.94,24.0,17.0,66.7,0.0,3.0,1.0,1.0,25.0,0.0,0.0,0.0,0.0,,5461.0,283997.0,,
Jeremías Ledesma,Cádiz,30.0,GK,ARG,2024,La Liga,1993.0,33.9,47.0,2.0,0.0,6.0,0.0,46.4,0.3,-0.6,-0.02,313.0,785.0,39.9,897.0,115.0,60.4,44.0,284.0,85.6,62.1,526.0,53.0,10.1,45.0,1.33,12.9,47.0,1.39,151.0,104.0,70.2,6.0,12.0,16.0,9.0,26.5,2.0,2.0,0.0,0.0,0.0,16550.0,860596.0,,
Alexander Brunst,Darmstadt 98,28.0,GK,GER,2024,Bundesliga,1995.0,3.0,10.0,0.0,0.0,2.0,0.0,6.3,0.37,-3.7,-1.25,33.0,72.0,45.8,129.0,13.0,41.1,36.0,21.0,90.5,59.6,51.0,3.0,5.9,9.0,3.0,19.1,10.0,3.33,17.0,7.0,41.2,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,3972.0,206543.0,77.0,10.0
