"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","Att","Live_Pass","Dead_Pass","FK_Pass","TB_Pass","Sw_Pass","Crs_Pass","TI_Pass","CK_Pass","In_Corner","Out_Corner","Str_Corner","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","Url"
2024,"Arsenal","Premier League","William Saliba","FRA","DF","22",2001,38,2851,2794,55,33,3,2,3,7,0,0,0,0,2635,2,11,"https://fbref.com/en/players/972aeb2a/William-Saliba"
2024,"Arsenal","Premier League","Emile Smith Rowe","ENG","MF","23",2000,3.9,213,207,6,3,0,1,1,1,1,0,0,0,188,0,2,"https://fbref.com/en/players/17695062/Emile-Smith-Rowe"
2024,"Arsenal","Premier League","Cédric Soares","POR","DF","31",1991,0.7,69,61,8,2,0,0,4,6,0,0,0,0,60,0,1,"https://fbref.com/en/players/839c14e1/Cedric-Soares"
2024,"Arsenal","Premier League","Jurriën Timber","NED","DF","22",2001,0.8,74,67,7,1,0,1,1,6,0,0,0,0,66,0,2,"https://fbref.com/en/players/41034650/Jurrien-Timber"
2024,"Arsenal","Premier League","Takehiro Tomiyasu","JPN","DF","24",1998,12.8,697,615,80,7,2,2,14,73,0,0,0,0,574,2,11,"https://fbref.com/en/players/b3af9be1/Takehiro-Tomiyasu"
2024,"Arsenal","Premier League","Leandro Trossard","BEL","FW,MF","28",1994,18.3,673,625,46,6,8,2,57,8,24,22,0,0,494,2,30,"https://fbref.com/en/players/38ceb24a/Leandro-Trossard"
2024,"Arsenal","Premier League","Fabio Vieira","POR","MF,FW","23",2000,3.3,150,137,12,3,3,2,15,0,8,3,0,0,122,1,1,"https://fbref.com/en/players/6412cc03/Fabio-Vieira"
2024,"Arsenal","Premier League","Ben White","ENG","DF","25",1997,33.2,2177,1922,251,46,5,11,57,205,0,0,0,0,1828,4,21,"https://fbref.com/en/players/35e413f1/Ben-White"
2024,"Arsenal","Premier League","Oleksandr Zinchenko","UKR","DF","26",1996,19.1,1568,1395,165,46,11,5,30,119,0,0,0,0,1374,8,14,"https://fbref.com/en/players/51cf8561/Oleksandr-Zinchenko"
2024,"Arsenal","Premier League","Martin Ødegaard","NOR","MF","24",1998,34.3,2006,1887,103,55,39,3,77,13,26,21,1,0,1692,16,38,"https://fbref.com/en/players/79300479/Martin-Odegaard"
2024,"Aston Villa","Premier League","Cameron Archer","ENG","MF","22",2001,0.1,6,6,0,0,1,0,0,0,0,0,0,0,5,0,0,"https://fbref.com/en/players/05e8ca6d/Cameron-Archer"
2024,"Aston Villa","Premier League","Leon Bailey","JAM","MF,FW","25",1997,23,790,745,40,2,11,7,75,9,29,20,0,0,573,5,38,"https://fbref.com/en/players/3a233281/Leon-Bailey"
2024,"Aston Villa","Premier League","Diego Carlos","BRA","DF","30",1993,20.2,1340,1293,47,41,0,6,1,0,0,0,0,0,1184,0,4,"https://fbref.com/en/players/b4a014b1/Diego-Carlos"
2024,"Aston Villa","Premier League","Matty Cash","POL","DF","25",1997,23.8,1225,1043,181,24,0,3,39,157,0,0,0,0,985,1,24,"https://fbref.com/en/players/2389cdc2/Matty-Cash"
2024,"Aston Villa","Premier League","Calum Chambers","ENG","MF,DF","28",1995,1.7,113,113,0,0,0,1,0,0,0,0,0,0,100,0,2,"https://fbref.com/en/players/dc6f5bdd/Calum-Chambers"
2024,"Aston Villa","Premier League","Philippe Coutinho","BRA","MF,FW","31",1992,0.3,24,23,1,0,0,0,0,0,0,0,0,0,20,0,0,"https://fbref.com/en/players/0ef89a37/Philippe-Coutinho"
2024,"Aston Villa","Premier League","Leander Dendoncker","BEL","MF","28",1995,1.3,56,56,0,0,0,1,0,0,0,0,0,0,45,0,0,"https://fbref.com/en/players/5a7301ae/Leander-Dendoncker"
2024,"Aston Villa","Premier League","Moussa Diaby","FRA","FW,MF","24",1999,24.2,619,567,51,3,6,2,45,4,1,0,0,0,485,1,15,"https://fbref.com/en/players/aeed5c06/Moussa-Diaby"
2024,"Aston Villa","Premier League","Lucas Digne","FRA","DF","30",1993,26.8,1351,1095,253,36,0,4,154,181,36,25,5,0,1015,3,42,"https://fbref.com/en/players/1b84dbe1/Lucas-Digne"
2024,"Aston Villa","Premier League","Jhon Durán","COL","FW,MF","19",2003,5.3,121,117,4,1,0,0,6,1,0,0,0,0,83,0,10,"https://fbref.com/en/players/414184f7/Jhon-Duran"
