"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xAG","xA_Expected","A_minus_xAG_Expected","KP","Final_Third","PPA","CrsPA","PrgP","Url"
2024,"Alavés","La Liga","Antonio Sivera","ESP","GK","26",1996,34,651,1105,58.9,23568,18918,107,107,100,205,208,98.6,336,784,42.9,0,0.1,0.1,-0.1,4,41,2,0,0,"https://fbref.com/en/players/9970da54/Antonio-Sivera"
2024,"Alavés","La Liga","Alex Sola","ESP","FW,MF","24",1999,14,269,430,62.6,4680,1722,131,154,85.1,101,155,65.2,33,82,40.2,3,2.3,2.1,0.7,27,23,19,9,42,"https://fbref.com/en/players/5fa714d5/Alex-Sola"
2024,"Alavés","La Liga","Mamadou Sylla","SEN","FW,MF","29",1994,0.2,3,7,42.9,64,6,1,4,25,1,1,100,1,1,100,0,0,0,0,0,2,0,0,1,"https://fbref.com/en/players/e5ec95f8/Mamadou-Sylla"
2024,"Alavés","La Liga","Nahuel Tenaglia","ARG","DF","27",1996,12.7,330,454,72.7,6427,3084,121,144,84,166,203,81.8,39,84,46.4,0,0.5,0.7,-0.5,6,33,6,3,45,"https://fbref.com/en/players/66654daa/Nahuel-Tenaglia"
2024,"Alavés","La Liga","Carlos Vicente","ESP","FW","24",1999,12.4,201,357,56.3,3443,1278,97,140,69.3,67,108,62,27,66,40.9,4,3.7,2.9,0.3,33,11,18,14,23,"https://fbref.com/en/players/90df343e/Carlos-Vicente"
2024,"Alavés","La Liga","Xeber","ESP","FW,MF","26",1997,3.4,68,100,68,991,239,46,53,86.8,17,23,73.9,4,10,40,0,0.6,0.5,-0.6,6,3,1,0,6,"https://fbref.com/en/players/d2c8aacc/Xeber"
2024,"Almería","La Liga","Sergio Akieme","ESP","DF","25",1997,18.6,620,801,77.4,10224,3150,314,346,90.8,247,298,82.9,48,111,43.2,0,2.2,2.1,-2.2,17,30,14,12,28,"https://fbref.com/en/players/06efa9dc/Sergio-Akieme"
2024,"Almería","La Liga","Sergio Arribas","ESP","MF,FW","21",2001,22.7,588,751,78.3,8318,2305,355,412,86.2,168,196,85.7,32,77,41.6,4,3.7,3.3,0.3,42,51,26,4,81,"https://fbref.com/en/players/1e465e70/Sergio-Arribas"
2024,"Almería","La Liga","Iddrisu Baba","GHA","MF","27",1996,15.9,543,654,83,10011,2718,207,245,84.5,272,308,88.3,52,67,77.6,0,0.6,0.4,-0.6,6,51,3,2,60,"https://fbref.com/en/players/bfd381b3/Iddrisu-Baba"
2024,"Almería","La Liga","Srđan Babić","SRB","DF","27",1996,1,58,62,93.5,1267,388,13,13,100,37,41,90.2,8,8,100,0,0,0,0,0,2,0,0,6,"https://fbref.com/en/players/075fe5a3/Srdjan-Babic"
