"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty","Url"
2024,"Fulham","Premier League","Bernd Leno","GER","GK","31",1992,38,38,3420,38,61,1.61,190,133,72.1,13,8,17,10,26.3,8,8,0,0,0,"https://fbref.com/en/players/2628fd2b/Bernd-Leno"
2024,"Genoa","Serie A","Nicola Leali","ITA","GK","30",1993,3,2,176,2,2,1.02,9,7,77.8,1,0,1,0,0,0,0,0,0,NA,"https://fbref.com/en/players/5f9970a0/Nicola-Leali"
2024,"Genoa","Serie A","Josep Martinez","ESP","GK","25",1998,36,36,3239,36,43,1.19,130,87,69.2,11,13,12,8,22.2,4,3,1,0,25,"https://fbref.com/en/players/11d8aff0/Josep-Martinez"
2024,"Genoa","Serie A","Daniele Sommariva","ITA","GK","26",1997,1,0,5,0.1,0,0,0,0,NA,0,0,0,1,NA,0,0,0,0,NA,"https://fbref.com/en/players/a8e7f7e9/Daniele-Sommariva"
2024,"Getafe","La Liga","Daniel Fuzato","BRA","GK","26",1997,1,0,7,0.1,2,25.71,2,0,0,0,0,0,0,NA,0,0,0,0,NA,"https://fbref.com/en/players/82328faf/Daniel-Fuzato"
2024,"Getafe","La Liga","David Soria","ESP","GK","30",1993,38,38,3413,37.9,52,1.37,171,118,72.5,10,13,15,10,26.3,7,5,1,1,16.7,"https://fbref.com/en/players/8f8c6934/David-Soria"
2024,"Girona","La Liga","Paulo Gazzaniga","ARG","GK","31",1992,38,38,3420,38,46,1.21,168,121,75.6,25,6,7,12,31.6,7,5,1,1,16.7,"https://fbref.com/en/players/63d17038/Paulo-Gazzaniga"
2024,"Gladbach","Bundesliga","Moritz Nicolas","GER","GK","25",1997,27,27,2430,27,49,1.81,160,111,71.9,6,11,10,4,14.8,4,4,0,0,0,"https://fbref.com/en/players/226ddf9d/Moritz-Nicolas"
2024,"Gladbach","Bundesliga","Jonas Omlin","SUI","GK","29",1994,7,7,630,7,18,2.57,47,29,66,1,2,4,0,0,2,2,0,0,0,"https://fbref.com/en/players/c631f952/Jonas-Omlin"
2024,"Granada","La Liga","Augusto Batalla","ARG","GK","27",1996,17,17,1530,17,28,1.65,86,58,67.4,3,4,10,3,17.6,0,0,0,0,NA,"https://fbref.com/en/players/fc627681/Augusto-Batalla"
2024,"Granada","La Liga","Raúl Fernández","ESP","GK","35",1988,4,4,280,3.1,11,3.54,17,7,35.3,1,0,3,0,0,1,0,0,1,NA,"https://fbref.com/en/players/6fb59070/Raul-Fernandez"
2024,"Granada","La Liga","André Ferreira","POR","GK","27",1996,15,14,1340,14.9,29,1.95,77,49,66.2,0,5,9,0,0,3,3,0,0,0,"https://fbref.com/en/players/12c6cbef/Andre-Ferreira"
2024,"Granada","La Liga","Marc Martínez","ESP","GK","33",1990,3,3,270,3,11,3.67,23,12,60.9,0,0,3,0,0,2,2,0,0,0,"https://fbref.com/en/players/3496ff67/Marc-Martinez"
